title,price,content,url
鳴子温泉郷　ゆきむすび・ブルーベリーアイスクリーム,10000, 【商品内容】　アイスクリーム 【内・個数】 ゆきむすび　90ml×6個、ブルーベリー　90ml×6個 【消費期限】　製造より6か月 【保存方法】　冷凍 【お届け状態】　冷凍 【商品説明】ブルーベリーは有機栽培で一粒一粒を手で収穫しております。,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/192864
森泉　4代目蔵元おすすめ飲み切り 300ml×6本セット,10000, 【商品内容】森泉(清酒) 長期貯蔵酒純米古酒、純米甘酸美味、特別純米原酒、純米吟醸、特別純米酒、特別本醸造 【内・個数】　各300ml詰×6本　箱入 【保存方法】常温 【お届け状態】常温 【商品説明】6種のちがいを飲み比べてください。,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/192862
A-17 宮崎和牛ロースステーキ,10000, 宮崎和牛ロースステーキ250g,https://www.furusato-tax.jp/japan/prefecture/item_detail/45421/252508
C-04 鹿肉カレー缶詰セット,10000, 鹿肉キーマカレー190g×3缶(宗谷産鹿肉使用) 濃厚中辛鹿カレー190g×3缶(宗谷産鹿肉使用),https://www.furusato-tax.jp/japan/prefecture/item_detail/01516/13097
A33　宮崎牛ロースステーキ,10000,  宮崎牛ロースステーキ300g×1,https://www.furusato-tax.jp/japan/prefecture/item_detail/45406/163115
B-38 料理屋のこだわりソース 3種セット,10000,  ・ジャポネソース 280ml×2本 ・極味ポン酢 180ml×1本 ・和風ドレッシング 180ml×1本,https://www.furusato-tax.jp/japan/prefecture/item_detail/41345/199108
宮崎県産赤身牛ロースとロブスタ一尾丸ごとセット,10000, 宮崎県産赤身牛ロース２人前（２２０g）、カナダ産ロブスター丸ごと１尾、オリーブオイル、メキシコ産岩塩、季節のハーブ,https://www.furusato-tax.jp/japan/prefecture/item_detail/40213/354678
B1801　みなせ牛（秋田産黒毛和牛）特選ステーキコース,10000, 【内容】みなせ牛ロースステーキ（180g×1枚） 【賞味期限】発送日から100日間,https://www.furusato-tax.jp/japan/prefecture/item_detail/05207/367688
B-220．甲州ワインビーフおすすめセット,10000, 切り落し約600g、オリジナル焼肉のタレ1本,https://www.furusato-tax.jp/japan/prefecture/item_detail/19213/45458
B1701　A5ランクJAこまち牛ステーキセット,10000, 【内容】ＪＡこまち牛　サーロインステーキ150g×1、モモステーキ100g×1 【賞味期限】発送日から5日間,https://www.furusato-tax.jp/japan/prefecture/item_detail/05207/367686
【鳴子乾漆器】　長方皿,10000, 【商品内容】 鳴子乾漆器　長方皿 【内・個数】 皿　約20cm×約16cm 【備考】 高熱のものに使用すると色が変わる場合があります。 【商品説明】 幅広い用途でお楽しみいただけるお皿です,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/45348
山形県産豚 ヒレステーキ,10000, 1.3kg,https://www.furusato-tax.jp/japan/prefecture/item_detail/06366/167996
〔応援B-6〕ダイニングキッチンあ・かうはーどお食事券,10000, お食事券,https://www.furusato-tax.jp/japan/prefecture/item_detail/09407/38113
A-67　【福豚工房】　極上霜降り　肩ロースセット,10000, 肩ロース切り身×4枚 肩ローススライス×500グラム,https://www.furusato-tax.jp/japan/prefecture/item_detail/10201/261545
[0113]鹿追牛Cセット,10000,  鹿追牛ロースステーキ（乳用種） 720ｇ（180g×4）,https://www.furusato-tax.jp/japan/prefecture/item_detail/01634/339197
ブランド豚ステーキどーんと880ｇと絶品調味料のお得セット,10000, ロース４枚４８０ｇ、角切り４００ｇ、仏手柑ポン酢５００ｍｌ、土佐の和風だし５００ｍｌ,https://www.furusato-tax.jp/japan/prefecture/item_detail/39206/267332
A023 さんべバーガーのこだわりハンバーグセット（配達指定日不可）,10000, さんべバーガーのハンバーグ（デミグラスソース含め200g）×3個 さんべバーガーのハンバーグステーキ　170g　×3個,https://www.furusato-tax.jp/japan/prefecture/item_detail/32205/351151
大崎のめぐみ　リキュール3本セット,10000, 【商品内容】リキュール 【内・個数】梅酒500ml×2本、ブルーベリー500ml×1本 【消費期限】 【保存方法】常温 【お届け状態】常温 【商品説明】清酒酔舞の吟醸原酒で熟成させた、梅とブルーベリーのリキュール,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/45333
58-51 ◆黒豚ステーキジャンボ串,10000, 黒豚ステーキジャンボ串 ・たれ味3本 ・塩味3本,https://www.furusato-tax.jp/japan/prefecture/item_detail/46220/369309
A037三田ポーク（しゃぶしゃぶとステーキ）,10000, しゃぶしゃぶ（ロース）500、ステーキ（ロース）100g×5,https://www.furusato-tax.jp/japan/prefecture/item_detail/28219/189479
B-5．山形牛ステーキ用300ｇ,10000,,https://www.furusato-tax.jp/japan/prefecture/item_detail/06364/282295
D003 豪快に『厚切りラムステーキ』150g(タレ含む)×10枚,10000, 150g(タレ含む)×10枚,https://www.furusato-tax.jp/japan/prefecture/item_detail/01602/292124
52-57 ◆【A5ランク】坊津黒牛サーロイン　ステーキ用（１人前）,10000, ・A5ランク坊津黒牛サーロイン　1枚（約200g） ・坊津コラボで釜炊き塩「坊津の華」4gもつけます！,https://www.furusato-tax.jp/japan/prefecture/item_detail/46220/369279
2.八雲の牛肉ギューッと詰合せ,10000,,https://www.furusato-tax.jp/japan/prefecture/item_detail/01346/6789
天然大ぶり「あわびの煮貝」　1個,10000, 80g×1個,https://www.furusato-tax.jp/japan/prefecture/item_detail/19210/257777
G003 ぶどうの樹　スモークセットB,10000, ソーセージ5本、ベーコン100ｇ、ドライステーキ30ｇ、スモークチキン,https://www.furusato-tax.jp/japan/prefecture/item_detail/40100/362310
A-95　柳川肉匠職人の博多和牛コロッケと奇跡のカレーパン,10000,  ・博多和牛コロッケ：6こ （1つ約80g）  ・奇跡のカレーパン：4こ （1つ約130g）  賞味期限：半年,https://www.furusato-tax.jp/japan/prefecture/item_detail/40207/369960
西伊豆町の本わさび・漬物セット,10000, 本わさび300g前後(2~6本)、茎の漬物(三杯酢、醤油漬　各1個),https://www.furusato-tax.jp/japan/prefecture/item_detail/22306/169587
K078.国産牛サーロインステーキセット,10000, 国産牛サーロインステーキ2枚セット（計約360ｇ),https://www.furusato-tax.jp/japan/prefecture/item_detail/31203/190576
古代豚・お肉９９０ｇセット【農林水産大臣賞受賞！きめが細かくやわらかジューシー】[0010-0102],10000, ロース厚切り 120g×2枚 バラ肉スライス 250g モモスライス 250g 挽肉 250g,https://www.furusato-tax.jp/japan/prefecture/item_detail/11381/22375
【杜仲茶ポーク】しゃぶしゃぶ たっぷり　1.8 kgセット,10000, 杜仲茶ポーク　バラ・モモ・ロース各600g,https://www.furusato-tax.jp/japan/prefecture/item_detail/03214/331607
あかい実りの贅沢しぼり(トマトジュース),10000, 【商品内容】トマトジュース 【内・個数】黒ラベル720ml×1本　白ラベル720ml×1本 【消費期限】1年 【保存方法】常温 【お届け状態】常温,https://www.furusato-tax.jp/japan/prefecture/item_detail/04215/45344
B101　米沢牛ももステーキ肉2枚（約460ｇ）,10000, 米沢牛ももステーキ肉2枚 　460g（約230g×2枚）,https://www.furusato-tax.jp/japan/prefecture/item_detail/06209/294712
(A-49)延岡よっとん　上ロースブロック,10000, 上ロース　約1.3ｋｇ,https://www.furusato-tax.jp/japan/prefecture/item_detail/45203/294398
No.030 大和牛ロース ステーキ3枚 820g,10000, 820g 賞味期限：30日 冷凍にて保管ください。,https://www.furusato-tax.jp/japan/prefecture/item_detail/29363/286971
29-0165　【芳醇！】宮崎牛モモステーキ（小林市産）,4000, 宮崎牛モモステーキ200g×2,https://www.furusato-tax.jp/japan/prefecture/item_detail/45205/348575
NN14　有機玉ねぎをまるごと使ったおいしいドレッシング（２本入り）,45, ・有機玉ねぎドレッシング（180ml）×1本 ・有機玉ねぎドレッシング_黒酢入り（190ml）×1本,https://www.furusato-tax.jp/japan/prefecture/item_detail/42214/329646
